# ----------------------------------------
# Všechny údaje o webu
# Přehled publika
# 20200501-20200531
# ----------------------------------------

Index hodiny,Časové období,Segment,Uživatelé
000081,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,2
000081,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000082,1.5.2020 - 31.5.2020,Všichni uživatelé,3
000082,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000082,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000082,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,2
000083,1.5.2020 - 31.5.2020,Všichni uživatelé,6
000083,1.5.2020 - 31.5.2020,Mobilní návštěvnost,1
000083,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,2
000083,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000084,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000084,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000084,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000084,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000085,1.5.2020 - 31.5.2020,Všichni uživatelé,3
000085,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000085,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000085,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,3
000086,1.5.2020 - 31.5.2020,Všichni uživatelé,3
000086,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000086,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000086,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,2
000087,1.5.2020 - 31.5.2020,Všichni uživatelé,4
000087,1.5.2020 - 31.5.2020,Mobilní návštěvnost,1
000087,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000087,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,3
000088,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000088,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000088,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000088,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000089,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000089,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000089,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000089,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000090,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000090,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000090,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000090,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000091,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000091,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000091,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000091,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000092,1.5.2020 - 31.5.2020,Všichni uživatelé,2
000092,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000092,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000092,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,2
000093,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000093,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000093,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000093,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000094,1.5.2020 - 31.5.2020,Všichni uživatelé,2
000094,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000094,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000094,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,2
000095,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000095,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000095,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000095,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000096,1.5.2020 - 31.5.2020,Všichni uživatelé,3
000096,1.5.2020 - 31.5.2020,Mobilní návštěvnost,1
000096,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,2
000096,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,3
000097,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000097,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000097,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000097,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000098,1.5.2020 - 31.5.2020,Všichni uživatelé,0
